;N°;Date;Artiste;Titre;Nombre de semaines n°1;Commentaires
182;183;27/03/2004;J-Five feat. Charlie Chaplin;Modern Times;1;- Disque d'Argent
183;184;17/04/2004;Usher feat. Lil Jon & Ludacris;Yeah!;1;
184;185;24/04/2004;O-Zone;Dragostea din tei;15;- Disque de Diamant - Meilleure vente de 2004
185;186;07/08/2004;K-Maro;Femme Like U (Donne moi ton corps);1;- Disque de Diamant
186;187;14/08/2004;Aventura;Obsesión;7;- Disque de Diamant
187;188;02/10/2004;Star Academy 4;Laissez-moi danser;6;- Entré directement no 1
188;189;13/11/2004;Tragédie;Gentleman;1;- Disque d'Or
189;190;20/11/2004;Starsailor;Four to the Floor (Thin White Duke remix);1;- Disque d'Or
190;191;27/11/2004;Garou & Michel Sardou;La Rivière de notre enfance;5;- Disque d'Or
191;192;01/01/2005;Star Academy 4;Adieu monsieur le professeur;1;
192;193;08/01/2005;Eric Prydz;Call on Me;3;- Disque d'Or
193;194;29/01/2005;Amel Bent;Ma philosophie;6;- Disque de Diamant - Entré directement no 1
194;195;12/03/2005;Ilona Mitrecey;Un monde parfait;15;- Disque de Diamant - Meilleure vente de 2005
195;196;25/06/2005;Crazy Frog;Axel F;13;- Disque de Diamant
196;197;24/09/2005;Crazy Frog;Popcorn;7;- Disque de Diamant - Entré directement no 1 - Artiste s'auto-détrônant - Deuxième no 1 extrait d'un même album (Crazy Frog Presents Crazy Hits)
197;198;12/11/2005,31/12/2005;Madonna;Hung Up;5 (4 et 1);- Bond de la 67e à la 1re place - Disque d'Or
198;199;10/12/2005;Star Academy 5;Santiano;2;
199;200;24/12/2005;Johnny Hallyday;Mon plus beau Noël;1;
200;201;07/01/2006;Juanes;La camisa negra;2;
201;202;21/01/2006,04/02/2006;Amine;J'voulais;4 (1 et 3);- Disque d'Or - Entré directement no 1
202;203;28/01/2006;Nolwenn Leroy;Nolwenn Ohwo !;1;- Bond de la 47e à la 1re place
203;204;25/02/2006;Zucchero & Maná;Baila morena;4;- Bond de la 64e à la 1re place - Disque d'Or
204;205;25/03/2006;Pigloo;Papa Pingouin;3;- Disque de Platine
205;206;15/04/2006;Diam's;La Boulette (Génération nan nan);3;- Disque de Platine
206;207;06/05/2006;Shakira feat. Wyclef Jean;Hips Don't Lie;1;- Disque d'Or  - Entré directement no 1
207;208;13/05/2006;Pakito;Living on Video;4;- Disque de Platine
208;209;10/06/2006;Crazy Frog;We Are The Champions (Ding a Dang Dong);5;- Disque d'Or - Entré directement no 1
209;210;15/07/2006;Cauet;Zidane y va marquer;2;
210;211;29/07/2006;La Plage;Coup de boule;3;
211;212;19/08/2006;Tribal King;Façon Sex;5;- Disque de Platine
212;213;23/09/2006;Johnny Hallyday;La Loi du silence;1;- Entré directement no 1
213;214;30/09/2006;Moby & Mylène Farmer;Slipping Away (Crier la vie);1;- Disque d'Or - Entré directement no 1
214;215;07/10/2006;Faf Larage;Pas le temps;6;- Disque de Platine - Meilleure vente de 2006
215;216;18/11/2006;Faudel;Mon pays;1;- Entré directement no 1
216;217;25/11/2006;Fatal Bazooka;Fous ta cagoule;8;- Disque de Platine
217;218;20/01/2007;Kamini;Marly-Gomont;4;- Disque de Platine
218;219;17/02/2007;Yannick Noah;Aux arbres citoyens;3;- Entré directement no 1- Disque d'Argent
219;220;10/03/2007;Fatal Bazooka feat. Vitoo;Mauvaise foi nocturne (La réponse);6;- Disque d'Or - Deuxième no 1 extrait d'un même album (T'as vu ?)
220;221;14/04/2007;Cascada;Miracle;1;- Disque d'Argent
221;222;21/04/2007;Céline Dion;Et s'il n'en restait qu'une (Je serais celle-là);1;- Entré directement no 1 - Première artiste ayant cinq no 1
222;223;28/04/2007,12/05/2007;Beyoncé & Shakira;Beautiful Liar;2 (1 et 1);- Entré directement no 1
223;224;05/05/2007;Tony Parker;Balance-toi;1;- Entré directement no 1
224;225;19/05/2007;Christophe Maé;On s'attache;1;- Entré directement no 1
225;226;26/05/2007;Nelly Furtado;Say It Right;1;- Entré directement no 1
226;227;02/06/2007,23/06/2007,21/07/2007;Christophe Willem;Double je;7 (2, 2 et 3);- Disque de Platine - Entré directement no 1 - Meilleure vente de 2007
227;228;16/06/2007;Grégory Lemarchal;De temps en temps;1;- Entré directement no 1
228;229;07/07/2007;Mika;Relax, Take It Easy;2;- Bond de la 70e à la 1re place
229;230;11/08/2007;Patrick Fiori & Jean-Jacques Goldman & Christine Ricol;4 mots sur un piano;2;- Disque d'argent
230;231;25/08/2007;Koxie;Garçon;7;- Disque de Platine
231;232;13/10/2007;Ora Maté;Kamaté;1;- Disque d'Argent
232;233;20/10/2007;Melissa M;Elle;1;- Entré directement no 1
233;234;27/10/2007;Rihanna;Don't Stop the Music;2;- Entré directement no 1
234;235;10/11/2007;Sheryfa Luna;Quelque part;4;- Entré directement no 1
235;236;08/12/2007;Fatal Bazooka feat. Yelle;Parle à ma main;7;- Troisième no 1 extrait d'un même album (T'as vu ?) - Premier artiste à classer 3 singles issus du même album no 1
236;237;26/01/2008;Sheryfa Luna;Il avait les mots;8;- Entré directement no 1 - Deuxième no 1 extrait d'un même album (Sheryfa Luna)
237;238;22/03/2008;Leona Lewis;Bleeding Love;1;- Entré directement no 1
238;239;29/03/2008;M. Pokora feat. Timbaland & Sebastian;Dangerous;1;- Entré directement no 1
239;240;05/04/2008;Laurent Wolf feat. Eric Carter;No Stress;1;- Disque d'Argent
240;241;12/04/2008;Ch'ti DJ;Hé, biloute! Monte l'son! Hein!;1;
241;242;19/04/2008;Enrique Iglesias feat. Nâdiya;Tired of Being Sorry (Laisse le destin l'emporter);11;- Entré directement no 1 - Disque d'Or - Meilleure vente de 2008
242;243;05/07/2008,30/08/2008;William Baldé;Rayon de soleil;9 (7 et 2);- Entré directement no 1
243;244;23/08/2008;Mylène Farmer;Dégénération;1;- Entré directement no 1 - Meilleur score hebdomadaire de l'année
244;245;13/09/2008;Madcon;Beggin';7;- Entré directement no 1 - Disque d'Argent
245;246;01/11/2008,29/11/2008;Guru Josh Project;Infinity 2008 (Klaas remix);2 (1 et 1);- Entré directement no 1
246;247;08/11/2008;Mylène Farmer;Appelle mon numéro;1;- Entré directement no 1 - Deuxième no 1 extrait d'un même album (Point de suture) - Première artiste ayant six no 1
247;248;15/11/2008;Johnny Hallyday;Ça n'finira jamais;2;- Entré directement no 1
248;249;06/12/2008;Patrick Sébastien;Ah… si tu pouvais fermer ta gueule;1;
249;250;13/12/2008;Britney Spears;Womanizer;5;
250;251;18/01/2009;Mikelangelo Loconte;Tatoue-moi;5;- Entré directement no 1
251;252;22/02/2009;Mylène Farmer;Si j'avais au moins…;1;- Entré directement no 1 - Troisième no 1 extrait d'un même album (Point de suture)
252;253;01/03/2009,22/03/2009;Lady Gaga;Poker Face;4 (1 et 3);
253;254;08/03/2009;Pep's;Liberta;2;- Entré directement no 1
254;255;12/04/2009;Charlie Winston;Like a Hobo;1;- Entré directement no 1
255;256;19/04/2009,17/05/2009;Magic System & Khaled;Même pas fatigué;7 (3 et 4);- Entré directement no 1
256;257;10/05/2009;Mylène Farmer;C'est dans l'air;1;- Quatrième no 1 extrait d'un même album (Point de suture) - Première artiste à classer 4 singles issus du même album no 1
257;258;14/06/2009;Helmut Fritz;Ça m'énerve;4;- Disque de platine - Meilleure vente de 2009
258;259;12/07/2009;Pitbull;I Know You Want Me (Calle Ocho);8;
259;260;06/09/2009;Mylène Farmer;Sextonik;1;- Entré directement no 1 - Troisième no 1 en 2009 - Cinquième no 1 extrait d'un même album (Point de suture) - Première artiste à classer 5 singles issus du même album no 1 - Premier album dont tous les singles ont été classés no 1 - Sixième no 1 dans le top dans les années 2000 pour Mylène Farmer
260;261;13/09/2009;Tom Frager & Gwayav';Lady Melody;4;- Entré directement no 1
261;262;11/10/2009;Jena Lee;J'aimerais tellement;11;- Entré directement no 1 - Disque de platine
262;263;27/12/2009;Edward Maya & Vika Jigulina;Stereo Love;4;
263;264;24/01/2010;Lady Gaga;Bad Romance;1;- Disque de Platine - Entré directement no 1
264;265;31/01/2010;Christophe Maé;Dingue, dingue, dingue;3;- Entré directement no 1
265;266;21/02/2010;Ke$ha;Tik Tok;2;- Disque d'or
266;267;07/03/2010,21/03/2010,23/05/2010;Stromae;Alors on danse;10 (1, 8 et 1);- Entré directement no 1
267;268;14/03/2010;Cœur de pirate & Julien Doré;Pour un infidèle;1;- Entré directement no 1
268;269;16/05/2010,30/05/2010;Justin Bieber feat. Ludacris;Baby;2 (1 et 1);
269;270;06/06/2010,27/06/2010;Jessy Matador;Allez ola olé;5 (2 et 3);- Première chanson représentant la France à l'Eurovision no 1
270;271;20/06/2010;David Guetta & Chris Willis feat. Fergie & LMFAO;Gettin' Over You;1;- Bond de la 64e à la 1re place
271;272;18/07/2010;Collectif Métissé;Debout pour danser;1;
272;273;25/07/2010;Shakira feat. Freshlyground;Waka Waka (This Time for Africa);6;- Entré directement no 1 - Disque de Platine - Meilleure vente de 2010 (Physiques + Téléchargements)
273;274;05/09/2010;René la Taupe;Mignon, Mignon;13;- Disque d'Or - Entré directement no 1 - Meilleure vente de 2010 (Ventes physiques seules)
274;275;05/12/2010;Mylène Farmer;Oui mais... non;3;- Entré directement no 1
275;276;26/12/2010;Israel Kamakawiwoʻole;Over the Rainbow;10;- Single sorti en 1993
276;277;06/03/2011;Colonel Reyel;Celui...;1;
277;278;13/03/2011;Colonel Reyel;Toutes les nuits;1;- Artiste s'auto-détrônant - Deuxième no 1 extrait d'un même album (Au rapport)
278;279;20/03/2011;Jennifer Lopez feat. Pitbull;On the Floor;1;
279;280;27/03/2011;The Black Eyed Peas;Just Can't Get Enough;4;- Disque d'Or
280;281;24/04/2011;Mylène Farmer;Bleu noir;1;- Deuxième no 1 extrait d'un même album (Bleu noir) - Entré directement no 1
281;282;01/05/2011;Jessie J feat. B.o.B;Price Tag;1;
282;283;08/05/2011;Snoop Dogg vs David Guetta;Sweat (David Guetta remix);2;
283;284;22/05/2011,17/07/2011;LMFAO feat. Lauren Bennett & GoonRock;Party Rock Anthem;9 (7 et 2);- Disque de Platine  - Meilleure vente de 2011
284;285;10/07/2011;Mylène Farmer;Lonely Lisa;1;- Troisième no 1 extrait d'un même album (Bleu noir) - Deuxième album dont tous les singles ont été classés no 1- Bond de la 97e à la 1re place
285;286;31/07/2011;Rihanna;Man Down;5;
286;287;04/09/2011,09/10/2011;Mika;Elle me dit;5 (4 et 1);
287;288;02/10/2011,23/10/2011;Rihanna feat. Calvin Harris;We Found Love;5 (1 et 4);
288;289;16/10/2011,20/11/2011;Adele;Someone Like You;4 (1 et 3);- Disque de Diamant
289;290;11/12/2011,29/01/2012;Shakira;Je l'aime à mourir (La quiero a morir);7 (6 et 1);- Disque d'Or - Entré directement no 1
290;291;22/01/2012,05/02/2012;Michel Teló;Ai, Se eu te Pego;9 (1 et 8);- Disque de Platine - Meilleure vente de 2012
291;292;01/04/2012;Gotye feat. Kimbra;Somebody That I Used to Know;9;
292;293;03/06/2012;Gusttavo Lima;Balada;2;
293;294;17/06/2012,01/07/2012,02/09/2012;Carly Rae Jepsen;Call Me Maybe;11 (1, 7 et 3);- Disque de Diamant
294;295;24/06/2012;Tacabro;Tacata';1;
295;296;19/08/2012;Alex Ferrari;Bara Bará Bere Berê;2;
296;297;23/09/2012;C2C;Down The Road;1;
297;298;30/09/2012;Rihanna;Diamonds;3;- Entré directement no 1 - Disque de Diamant
298;299;21/10/2012,23/12/2012;Psy;Gangnam Style;6 (2 et 4);- Premier artiste sud-coréen no 1 en France
299;300;04/11/2012,09/12/2012;Adele;Skyfall;6 (4 et 2);- Disque de Diamant
300;301;02/12/2012;Mylène Farmer;À l'ombre;1;
301;302;20/01/2013;Will.i.am & Britney Spears;Scream and Shout;1;
302;303;27/01/2013;Macklemore & Ryan Lewis feat. Wanz;Thrift Shop;8;
303;304;24/03/2013;Maître Gims;J'me tire;4;
304;305;21/04/2013,07/07/2013;Daft Punk feat. Pharrell Williams &  Nile Rodgers;Get Lucky;8 (7 et 1);- Entré directement no 1 - Disque de Diamant - Meilleure vente de 2013
305;306;09/06/2013,14/07/2013;Robin Thicke feat. T.I & Pharrell Williams;Blurred Lines;6 (4 et 2);- Artiste s'auto-détrônant (Pharrell Williams)- Disque de Diamant
306;307;28/07/2013;Stromae;Papaoutai;4;
307;308;25/08/2013;Avicii feat. Aloe Blacc;Wake Me Up!;2;
308;309;08/09/2013;Stromae;Formidable;6;- Deuxième no 1 extrait d'un même album (Racine carrée)
309;310;20/10/2013;Bakermat;Vandaag;1;- Plus lente ascension au no 1 (41 semaines)
310;311;27/10/2013;Vitaa feat. Maître Gims;Game Over;1;
311;312;03/11/2013;Eminem feat. Rihanna;The Monster;3;- Entré directement no 1
312;313;24/11/2013;Stromae;Tous les mêmes;1;- Troisième no 1 extrait d'un même album (Racine carrée)- Troisième no 1 en 2013
313;314;01/12/2013, 15/12/2013;Pharrell Williams;Happy;22 (1 et 21);- Troisième no 1 en 2013- Nouveau record de longévité au no 1- Disque de Diamant - Meilleure vente de 2014
314;315;08/12/2013;Bénabar & Patrick Bruel & Cali & Marina;Un arc-en-ciel;1;- Hymne du Téléthon 2013- Titre no 1 à la longévité la plus courte dans le Top (2 semaines)
315;316;11/05/2014;Milky Chance;Stolen Dance;3;- Premier artiste allemand no 1 depuis 2007
316;317;01/06/2014;Booba;OKLM;1;- Entré directement no 1
317;318;08/06/2014;Black M;Sur ma route;4;
318;319;06/07/2014,02/11/2014;Sia;Chandelier;3 (1 et 2);- Plus long écart entre deux accessions à la première place (16 semaines)
319;320;13/07/2014,19/10/2014;Lilly Wood and the Prick & Robin Schulz;Prayer in C (Robin Schulz remix);15 (13 et 2);
320;321;12/10/2014,16/11/2014;David Guetta feat. Sam Martin;Dangerous;6 (1 et 5);- Entré directement no 1
321;322;21/12/2014;Mark Ronson feat. Bruno Mars;Uptown Funk;11;
322;323;08/03/2015;Louane;Avenir;2;
323;324;22/03/2015,31/05/2015;OMI;Cheerleader (Felix Jaehn remix);10 (8 et 2);- Meilleure vente de 2015
324;325;17/05/2015;Marina Kaye;Homeless;2;
325;326;14/06/2015;Feder feat. Lyse;Goodbye;6;
326;327;26/07/2015;Kygo feat. Parson James;Stole the Show;1;
327;328;02/08/2015;One Direction;Drag Me Down;1;- Entré directement no 1
328;329;09/08/2015,06/09/2015;Nicky Jam & Enrique Iglesias;El perdón;6 (3 et 3);
329;330;30/08/2015,11/10/2015;Mylène Farmer & Sting;Stolen Car;2 (1 et 1);- Entré directement no 1
330;331;27/09/2015;L.E.J;Summer 2015;2;
331;332;18/10/2015;Charlie Puth feat. Meghan Trainor;Marvin Gaye;1;
332;333;25/10/2015;Adele;Hello;11;- Entré directement no 1
333;334;14/01/2016;David Bowie;Space Oddity;1;- Single sorti en 1969 - Entré directement no 1- Plus longue période entre sortie du titre et accession à la première place (1969-2016)
334;335;21/01/2016,11/02/2016;Matt Simons;Catch and Release (Deepend remix);2 (1 et 1);
335;336;28/01/2016;Renaud;Toujours debout;1;- Entré directement no 1
336;337;04/02/2016,25/02/2016;Rihanna feat. Drake;Work;2 (1 et 1);
337;338;18/02/2016;Jain;Come;1;
338;339;03/03/2016;Alan Walker feat. Iselin Solheim;Faded;4;
339;340;31/03/2016;Mylène Farmer;City of Love;1;- Deuxième no 1 extrait d'un même album (Interstellaires)
340;341;07/04/2016,21/04/2016;Kungs vs Cookin' on 3 Burners feat. Kylie Auldist;This Girl;2 (1 et 1);- Meilleure vente de 2016
341;342;14/04/2016;Drake feat. Wizkid & Kyla;One Dance;1;
342;343;28/04/2016;Prince & The Revolution;Purple Rain;1;- Entré directement no 1- Single sorti en 1984
343;344;05/05/2016;Sia feat. Sean Paul;Cheap Thrills;2;
344;345;19/05/2016,09/06/2016,30/06/2016,21/07/2016,04/08/2016,18/08/2016;Justin Timberlake;Can't Stop the Feeling!;7 (1, 1, 2, 1, 1 et 1);- Premier titre à accéder six fois au no 1 non consécutivement
345;346;26/05/2016, 01/09/2016;Céline Dion;Encore un soir;4 (2 et 2);- Entré directement no 1
346;347;16/06/2016,14/07/2016;David Guetta feat. Zara Larsson;This One's for You;3 (2 et 1);
347;348;28/07/2016;Booba;É.L.É.P.H.A.N.T.;1;- Entré directement no 1
348;349;11/08/2016;DJ Snake feat. Justin Bieber;Let Me Love You;1;- Entré directement no 1
349;350;25/08/2016;Imany;Don't Be So Shy (Filatov & Karas remix);1;
350;351;15/09/2016;Lady Gaga;Perfect Illusion;1;- Entré directement no 1
351;352;22/09/2016,01/12/2016;LP;Lost on You;6 (1 et 5);
352;353;29/09/2016;The Weeknd feat. Daft Punk;Starboy;1;
353;354;06/10/2016;Booba;DKR;1;- Entré directement no 1
354;355;13/10/2016,24/11/2016;Bruno Mars;24K Magic;2 (1 et 1);- Entré directement no 1
355;356;20/10/2016;Julien Doré;Le Lac;1;
356;357;27/10/2016;Richard Orlinski & Eva Simons;Heartbeat;3;
357;358;17/11/2016;Leonard Cohen;Hallelujah;1;- Entré directement no 1- Single sorti en 1984
358;359;06/01/2017;The Weeknd feat. Daft Punk;I Feel It Coming;1;- Deuxième no 1 extrait d'un même album (Starboy)
359;360;13/01/2017;Ed Sheeran;Shape of You;15;- Entré directement no 1- Meilleure vente de 2017
360;361;28/04/2017,23/06/2017;Luis Fonsi feat. Daddy Yankee;Despacito;18 (7 et 11);
361;362;16/06/2017;Indochine;La vie est belle;1;- Entré directement no 1
362;363;08/09/2017;Calvin Harris feat. Pharrell Williams & Katy Perry & Big Sean;Feels;2;
363;364;22/09/2017;Alice Merton;No Roots;2;
364;365;06/10/2017;Naughty Boy feat. Beyoncé & Arrow Benjamin;Runnin' (Lose It All);1;
365;366;13/10/2017;Kalash feat. Damso;Mwaka Moon;1;- Entré directement no 1
366;367;20/10/2017,17/11/2017;Ofenbach vs Nick Waterhouse;Katchi;4 (3 et 1);
